1ยน. 4:8
Isaiah 45:5
Isaiah 46:3
Isaiah 48:17
Isaiah 48:18
Isaiah 49:8
Isaiah 53:5
Isaiah 57:15
Isaiah 59:20
Isaiah 59:21
Isaiah 5:20
Isaiah 60:1
Isaiah 60:2
Isaiah 62:12
Isaiah 65:17
Isaiah 66:1
Isaiah 8:13
James 1:12
James 1:26
James 1:5
James 2:13
James 2:5
James 3:17
James 4:1
James 4:10
James 4:13
James 5:10
Jeremiah 10:23
Jeremiah 13:16
Jeremiah 14:22
Jeremiah 15:19
Jeremiah 17:14
Jeremiah 17:5
Jeremiah 20:13
Jeremiah 22:3
Jeremiah 23:23
Jeremiah 29:11
Jeremiah 29:13
Jeremiah 30:18
Jeremiah 31:25
Jeremiah 31:3
Jeremiah 32:17
Jeremiah 32:36
Jeremiah 32:39
Jeremiah 39:17
Jeremiah 5:22
Jeremiah 6:16
Job 11:18
Job 19:25
Job 28:28
Job 42:5
Joel 2:23
Joel 2:26
Joel 2:27
Joel 2:28
John 11:9
John 12:26
John 12:44
John 14:13
John 15:12
John 15:17
John 15:7
John 17:3
John 19:25
John 1:11
John 1:14
John 1:45
John 1:8
John 20:24
John 2:15
John 2:28
John 2:6
John 3:17
John 3:19
John 3:6
John 4:10
John 4:12
John 4:15
John 4:42
John 4:7
John 5:10
John 5:18
John 5:20
John 5:3
John 6:35
John 6:67
John 8:10
John 8:31
John 9:10
John 9:31
John 9:39
Jonah 2:2
Jonah 2:6
Jonah 3:1
Jonah 3:10
Jonah 4:10
Joshu 11:15
Joshua 1:7
Joshua 1:8
Joshua 23:11
Jude 1:20
Jude 1:24
Kings 8:39
Kings 8:44
Kings 8:61
Lamentations 3:25
Lamentations 3:31
Lamentations 3:32
Lamentations 3:36
Lamentations 3:40
Lamentations 3:57
Leviticus 16:30
Luke 10:8
Luke 11:1
Luke 11:28
Luke 12:15
Luke 14:11
Luke 14:12
Luke 15:8
Luke 16:10
Luke 17:3
Luke 18:18
Luke 18:32
Luke 1:46
Luke 1:78
Luke 21:34
Luke 22:24
Luke 23:39
Luke 24:45
Luke 24:46
Luke 24:6
Luke 2:11
Luke 2:14
Luke 2:8
Luke 3:15
Luke 6:22
Luke 6:35
Luke 6:36
Luke 6:39
Luke 8:50
Luke 9:1
Luke 9:18
Malachi 2:15
Malachi 3:5
Malachi 4:1
Mark 10:13
Mark 10:45
Mark 11:25
Mark 12:29
Mark 12:31
Mark 13:27
Mark 13:5
Mark 14:60
Mark 1:14
Mark 1:21
Mark 1:4
Mark 4:14
Mark 4:3
Mark 7:24
Mark 9:33
Mark 9:50
Mathew 28:18
Mathew 4:1
Mathew 4:17
Mathew 9:10
Matthew 10:32
Matthew 10:40
Matthew 11:28
Matthew 12:25
Matthew 13:44
Matthew 16:21
Matthew 17:20
Matthew 18:21
Matthew 19:26
Matthew 1:23
Matthew 24:3
Matthew 4:23
Matthew 5:1
Matthew 5:16
Matthew 5:43
Matthew 5:7
Matthew 6:1
Matthew 7:11
Matthew 7:13
Matthew 8:14
Matthew 9:35
Micah 4:5
Micah 6:6
Micah 6:8
Micah 6:9
Micah 7:18
Micah 7:19
Micah 7:2
Micah 7:7
Nahum 1:7
Nehemiah 1:9
Nehemiah 9:6
Numbers 11:23
Numbers 15:40
Obadiah 1:15
Peter 1:17
Peter 1:24
Peter 1:3
Peter 1:5
Peter 2:1
Peter 2:16
Peter 3:10
Peter 3:2
Peter 3:8
Peter 4:16
Philemon 1:14
Philippians 2:7
Philippians 3:20
Philippians 4:11
Philippians 4:4
Proverb 15:17
Proverbs 10:17
Proverbs 10:9
Proverbs 11:17
Proverbs 13:16
Proverbs 14:27
Proverbs 14:29
Proverbs 14:34
Proverbs 15:27
Proverbs 15:33
Proverbs 16:3
Proverbs 16:7
Proverbs 16:8
Proverbs 17:27
Proverbs 18:12
Proverbs 18:23
Proverbs 19:11
Proverbs 23:13
Proverbs 23:24
Proverbs 23:25
Proverbs 27:1
Proverbs 27:2
Proverbs 27:23
Proverbs 28:13
Proverbs 28:14
Proverbs 29:25
Proverbs 30:5
Proverbs 30:8
Proverbs 7:1
Proverbs 8:13
Psalm 100:3
Psalm 102:17
Psalm 102:18
Psalm 102:28
Psalm 103:8
Psalm 104:34
Psalm 105:4
Psalm 107:19
Psalm 111:5
Psalm 112:1
Psalm 112:6
Psalm 113:5
Psalm 116:8
Psalm 118:21
Psalm 118:28
Psalm 118:8
Psalm 119:34
Psalm 12:5
Psalm 12:7
Psalm 133:1
Psalm 140:12
Psalm 145:1
Psalm 146:8
Psalm 17:2
Psalm 17:4
Psalm 17:8
Psalm 18:17
Psalm 18:30
Psalm 199:1
Psalm 20:1
Psalm 23:1
Psalm 23:4
Psalm 25:12
Psalm 25:17
Psalm 25:4
Psalm 27:4
Psalm 32:5
Psalm 34:18
Psalm 37:1
Psalm 37:5
Psalm 38:21
Psalm 41:3
Psalm 46:1
Psalm 51:1
Psalm 51:10
Psalm 55:22
Psalm 57:1
Psalm 57:10
Psalm 5:11
Psalm 62:8
Psalm 68:20
Psalm 73:28
Psalm 82:3
Psalm 84:10
Psalm 84:4
Psalm 88:2
Psalm 89:1
Psalm 89:14
Psalm 91:14
Psalm 94:18
Psalm 94:19
Psalm 96:3
Psalm 97:11
Psalms 105:43
Psalms 105:7
Psalms 107:1
Psalms 107:41
Psalms 111:10
Psalms 115:13
Psalms 118:29
Psalms 118:8
Psalms 119:160
Psalms 119:169
Psalms 140:7
Psalms 141:4
Psalms 143:8
Psalms 25:8
Psalms 26:2
Psalms 27:5
Psalms 31:24
Psalms 32:5
Psalms 41:1
Psalms 41:3
Psalms 42:5
Psalms 44:5
Psalms 51:2
Psalms 90:14
Revelation 1:4
Revelation 20:11
Revelation 21:4
Revelation 3:10
Revelation 4:11
Roman 9:16
Romans 10:9
Romans 11:22
Romans 12:9
Romans 13:1
Romans 13:11
Romans 13:8
Romans 14:1
Romans 14:7
Romans 15:13
Romans 15:21
Romans 1:17
Romans 2:12
Romans 2:13
Romans 2:6
Romans 3:25
Romans 4:7
Romans 5:1
Romans 5:2
Romans 5:8
Romans 6:16
Romans 6:23
Romans 8:28
Romans 8:31
Romans 8:38
Romans 8:5
Samuel 12:22
Samuel 22:28
Samuel 22:29
Samuel 22:31
Samuel 22:32
Samuel 24:14
Thessalonians 1:2
Thessalonians 2:13
Thessalonians 2:16
Thessalonians 2:4
Thessalonians 3:13
Thessalonians 3:16
Thessalonians 3:3
Thessalonians 3:5
Thessalonians 4:11
Thessalonians 5:11
Thessalonians 5:12
Thessalonians 5:15
Thessalonians 5:17
Thessalonians 5:23
Thessalonians 5:8
Thessalonians 5:9
Timothy 1:19
Timothy 1:7
Timothy 2:4
Timothy 2:5
Timothy 3:1
Timothy 3:12
Timothy 3:16
Timothy 4:1
Timothy 4:4
Timothy 5:1
Timothy 6:10
Timothy 6:11
Timothy 6:17
Titus 2:9
Titus 3:1
Zechariah 10:1
Zechariah 14:6
Zechariah 14:9
Zechariah 7:9
Zechariah 8:16
Zechariah 9:16
Zechariah 9:9
Zephaniah 2:3
Zephaniah 3:17
Zephaniah 3:5
Zephaniah 3:9
kings 8:56
mark 12:28
proverbs 5:21
psalm 32:7
psalm 38:21
revelation 2:9
timothy 2:1
timothy 5:1
กันดารวิถี 11:23
กันดารวิถี 15:40
กาลาเทีย 1:3
กาลาเทีย 1:4
กาลาเทีย 1:6
กาลาเทีย 3:22
กาลาเทีย 3:27
กาลาเทีย 3:6
กาลาเทีย 5:1
กาลาเทีย 5:14
กาลาเทีย 5:5
กาลาเทีย 6:1
กิจการ  8:22
กิจการ 10:34
กิจการ 13:23
กิจการ 15:8
กิจการ 17:24
กิจการ 17:27
กิจการ 17:31
กิจการ 22:14
กิจการ 26:15
กิจการ 2:17
กิจการ 2:28
กิจการ 3:18
กิจการ 3:19
กิจการ 3:22
กิจการ 3:3
กิจการ 4:10
กิจการ 4:29
กิจการ 5:12
กิจการ 5:20
กิจการ 9:32
ซามูเอล 12:22
ซามูเอล 22:28
ซามูเอล 22:29
ซามูเอล 22:31
ซามูเอล 22:32
ซามูเอล 24:14
ดาเนียล 12:3
ดาเนียล 2:20
ดาเนียล 4:1
ดาเนียล 6:25
ดาเนียล 6:26
ทิตัส 2:9
ทิตัส 3:1
ทิโมธี 1:19
ทิโมธี 1:7
ทิโมธี 2:1
ทิโมธี 2:4
ทิโมธี 2:5
ทิโมธี 3:1
ทิโมธี 3:12
ทิโมธี 3:16
ทิโมธี 4:1
ทิโมธี 4:4
ทิโมธี 5:1
ทิโมธี 6:10
ทิโมธี 6:11
ทิโมธี 6:12
ทิโมธี 6:17
นาฮูม 1:7
บทที่ 16:11
บทเพลงคร่ำครวญ 3:32
บทเพลงคร่ำครวญ 3:36
บทเพลงคร่ำครวญ 3:40
ปฐมกาล 18:19
ปฐมกาล 1:1
ปฐมกาล 1:14
ปฐมกาล 1:20
ปฐมกาล 1:24
ปฐมกาล 1:28
ปฐมกาล 1:3
ปฐมกาล 1:6
ปฐมกาล 1:9
ปฐมกาล 2:1
ปฐมกาล 2:10
ปฐมกาล 2:15
ปฐมกาล 2:18
ปฐมกาล 2:4
ปฐมกาล 2:8
ปฐมกาล 35:2
ปฐมกาล 3:1
ปฐมกาล 3:14
ปฐมกาล 3:20
ปฐมกาล 3:8
ปฐมกาล 4:7
ปัญญาจารย์ 10:12
ปัญญาจารย์ 11:9
ปัญญาจารย์ 12:14
ปัญญาจารย์ 3:11
ปัญญาจารย์ 3:14
ปัญญาจารย์ 3:16
ปัญญาจารย์ 5:12
ปัญญาจารย์ 6:7
ปัญญาจารย์ 7:29
ปัญญาจารย์ 7:9
ปัญญาจารย์ 9:1
ปัญญาจารย์ 9:11
ปัญญาจารย์ 9:16
พงศาวดาร 13:10
พงศาวดาร 15:2
พงศาวดาร 16:8
พงศาวดาร 20:20
พงศาวดาร 20:21
พงศาวดาร 20:9
พงศาวดาร 23:16
พงศาวดาร 27:6
พงศาวดาร 32:8
พงศาวดาร 6:33
พงศาวดาร 7:14
พงศ์กษัตริย์  8:56
พงศ์กษัตริย์ 8:39
พงศ์กษัตริย์ 8:44
พงศ์กษัตริย์ 8:61
ฟิลิปปี 4:11
ฟีลิปปี 2:7
ฟีลิปปี 3:20
ฟีลิปปี 4:4
ฟีเลโมน 1:14
มก. 1:4
มัทธิว  5:38
มัทธิว 10:32
มัทธิว 10:40
มัทธิว 11:28
มัทธิว 12:25
มัทธิว 13:44
มัทธิว 16:21
มัทธิว 17:20
มัทธิว 19:26
มัทธิว 1:23
มัทธิว 24:3
มัทธิว 28:18
มัทธิว 4:1
มัทธิว 4:17
มัทธิว 4:23
มัทธิว 5:1
มัทธิว 5:16
มัทธิว 5:43
มัทธิว 5:7
มัทธิว 6:1
มัทธิว 7:11
มัทธิว 7:13
มัทธิว 8:14
มัทธิว 9:10
มัทธิว 9:35
มาระโก 10:13
มาระโก 10:45
มาระโก 11:25
มาระโก 12:29
มาระโก 12:31
มาระโก 13:27
มาระโก 13:5
มาระโก 14:60
มาระโก 1:14
มาระโก 1:21
มาระโก 1:4
มาระโก 4:14
มาระโก 4:3
มาระโก 7:24
มาระโก 9:33
มาระโก 9:50
มาลาคี 2:15
มาลาคี 3:5
มาลาคี 4:1
มีคาห์  7:7
มีคาห์ 4:5
มีคาห์ 6:6
มีคาห์ 6:8
มีคาห์ 6:9
มีคาห์ 7:18
มีคาห์ 7:2
ยน. 3:16
ยอห์น 11:9
ยอห์น 12:26
ยอห์น 12:44
ยอห์น 14:13
ยอห์น 15:12
ยอห์น 15:17
ยอห์น 15:7
ยอห์น 17:3
ยอห์น 19:25
ยอห์น 1:11
ยอห์น 1:14
ยอห์น 1:45
ยอห์น 1:8
ยอห์น 20:24
ยอห์น 2:15
ยอห์น 2:28
ยอห์น 2:6
ยอห์น 3:17
ยอห์น 3:19
ยอห์น 3:6
ยอห์น 4:10
ยอห์น 4:12
ยอห์น 4:15
ยอห์น 4:42
ยอห์น 4:7
ยอห์น 5:10
ยอห์น 5:18
ยอห์น 5:20
ยอห์น 5:26
ยอห์น 5:3
ยอห์น 6:35
ยอห์น 6:67
ยอห์น 8:10
ยอห์น 8:31
ยอห์น 9:10
ยอห์น 9:31
ยอห์น 9:39
ยากอบ 1:12
ยากอบ 1:26
ยากอบ 1:5
ยากอบ 2:13
ยากอบ 2:5
ยากอบ 3:17
ยากอบ 4:1
ยากอบ 4:10
ยากอบ 4:13
ยากอบ 5:10
ยูดา 1:20
ยูดา 1:24
ลูกา 10:8
ลูกา 11:1
ลูกา 11:28
ลูกา 12:15
ลูกา 14:11
ลูกา 14:12
ลูกา 15:8
ลูกา 16:10
ลูกา 17:3
ลูกา 18:18
ลูกา 18:32
ลูกา 1:46
ลูกา 1:78
ลูกา 21:34
ลูกา 22:24
ลูกา 23:39
ลูกา 24:45
ลูกา 24:46
ลูกา 24:6
ลูกา 2:11
ลูกา 2:14
ลูกา 2:8
ลูกา 3:15
ลูกา 6:22
ลูกา 6:36
ลูกา 6:39
ลูกา 8:38
ลูกา 8:50
ลูกา 9:1
ลูกา 9:18
วิวรณ์ 1:4
วิวรณ์ 20:11
วิวรณ์ 21:4
วิวรณ์ 2:9
วิวรณ์ 3:10
วิวรณ์ 4:11
สดด. 42:1
สดด. 42:10
สดด. 42:11
สดด. 42:2
สดด. 42:3
สดด. 42:4
สดด. 42:5
สดด. 42:6
สดด. 42:7
สดด. 42:8
สดด. 42:9
สดุดี 100:3
สดุดี 102:17
สดุดี 102:18
สดุดี 102:28
สดุดี 103:8
สดุดี 104:34
สดุดี 105:4
สดุดี 105:43
สดุดี 105:7
สดุดี 107:1
สดุดี 107:19
สดุดี 107:41
สดุดี 111:10
สดุดี 111:5
สดุดี 112:1
สดุดี 112:6
สดุดี 113:5
สดุดี 115:13
สดุดี 116:8
สดุดี 118:21
สดุดี 118:28
สดุดี 118:8
สดุดี 119:1
สดุดี 119:160
สดุดี 119:169
สดุดี 119:29
สดุดี 119:34
สดุดี 12:5
สดุดี 12:7
สดุดี 133:1
สดุดี 140:12
สดุดี 140:7
สดุดี 141:4
สดุดี 143:8
สดุดี 145:1
สดุดี 146:8
สดุดี 17:2
สดุดี 17:4
สดุดี 17:8
สดุดี 18:17
สดุดี 18:30
สดุดี 20:1
สดุดี 23:4
สดุดี 25:11
สดุดี 25:17
สดุดี 25:4
สดุดี 25:8
สดุดี 26:2
สดุดี 27:4
สดุดี 27:5
สดุดี 31:24
สดุดี 32:5
สดุดี 32:7
สดุดี 34:18
สดุดี 37:1
สดุดี 37:5
สดุดี 38:21
สดุดี 41:1
สดุดี 41:3
สดุดี 42:5
สดุดี 44:5
สดุดี 46:1
สดุดี 51:1
สดุดี 51:10
สดุดี 51:2
สดุดี 52:8
สดุดี 55:22
สดุดี 57:1
สดุดี 57:10
สดุดี 5:11
สดุดี 62:8
สดุดี 68:20
สดุดี 73:28
สดุดี 77:13
สดุดี 82:3
สดุดี 84:10
สดุดี 84:4
สดุดี 88:2
สดุดี 89:1
สดุดี 89:14
สดุดี 90:14
สดุดี 91:14
สดุดี 94:18
สดุดี 94:19
สดุดี 96:3
สดุดี 97:11
สุภาษิต 10:17
สุภาษิต 10:9
สุภาษิต 11:17
สุภาษิต 13:16
สุภาษิต 14:27
สุภาษิต 14:29
สุภาษิต 14:34
สุภาษิต 15:17
สุภาษิต 15:27
สุภาษิต 15:33
สุภาษิต 16:3
สุภาษิต 16:7
สุภาษิต 16:8
สุภาษิต 17:27
สุภาษิต 18:12
สุภาษิต 18:23
สุภาษิต 19:11
สุภาษิต 23:13
สุภาษิต 23:25
สุภาษิต 27:1
สุภาษิต 27:2
สุภาษิต 27:23
สุภาษิต 28:13
สุภาษิต 28:14
สุภาษิต 29:25
สุภาษิต 30:5
สุภาษิต 30:8
สุภาษิต 5:21
สุภาษิต 7:1
สุภาษิต 8:13
อพย. 20:12
อพยพ 14:21
อพยพ 15:26
อพยพ 16:4
อพยพ 20:12
อพยพ 20:13
อพยพ 20:14
อพยพ 20:15
อพยพ 20:16
อพยพ 20:17
อพยพ 20:20
อพยพ 20:3
อพยพ 20:4
อพยพ 20:7
อพยพ 20:8
อพยพ 3:7
อาโมส 5:14
อาโมส 5:24
อิสยาห์ 11:4
อิสยาห์ 12:2
อิสยาห์ 12:3
อิสยาห์ 12:4
อิสยาห์ 13:11
อิสยาห์ 17:14
อิสยาห์ 25:9
อิสยาห์ 26:3
อิสยาห์ 26:7
อิสยาห์ 29:18
อิสยาห์ 30:18
อิสยาห์ 32:1
อิสยาห์ 32:16
อิสยาห์ 33:2
อิสยาห์ 35:3
อิสยาห์ 3:10
อิสยาห์ 40:8
อิสยาห์ 41:17
อิสยาห์ 43:10
อิสยาห์ 43:13
อิสยาห์ 45:22
อิสยาห์ 45:5
อิสยาห์ 46:3
อิสยาห์ 48:17
อิสยาห์ 48:18
อิสยาห์ 49:8
อิสยาห์ 53:15
อิสยาห์ 53:5
อิสยาห์ 59:20
อิสยาห์ 59:21
อิสยาห์ 5:20
อิสยาห์ 60:1
อิสยาห์ 60:2
อิสยาห์ 62:12
อิสยาห์ 65:17
อิสยาห์ 66:1
อิสยาห์ 6:3
อิสยาห์ 8:13
ฮาบากุ 2:4
ฮาบากุ 3:13
ฮาบากุก 2:4
ฮาบากุก 3:17
ฮาบากุก 3:18
ฮีบรู 10:23
ฮีบรู 10:26
ฮีบรู 10:35
ฮีบรู 10:37
ฮีบรู 11:1
ฮีบรู 11:6
ฮีบรู 12:1
ฮีบรู 12:10
ฮีบรู 12:11
ฮีบรู 12:12
ฮีบรู 12:14
ฮีบรู 12:3
ฮีบรู 13:1
ฮีบรู 13:12
ฮีบรู 13:16
ฮีบรู 9:27
เฉลยธรรมบัญญัติ 10:14
เฉลยธรรมบัญญัติ 10:17
เฉลยธรรมบัญญัติ 10:18
เฉลยธรรมบัญญัติ 11:1
เฉลยธรรมบัญญัติ 1:17
เฉลยธรรมบัญญัติ 1:30
เฉลยธรรมบัญญัติ 23:5
เฉลยธรรมบัญญัติ 24:14
เฉลยธรรมบัญญัติ 33:12
เฉลยธรรมบัญญัติ 33:3
เฉลยธรรมบัญญัติ 7:9
เฉลยธรรมบัญญัติ 8:2
เฉลยธรรมบัญญัติ 8:3
เธสะโลนิกา 1:2
เธสะโลนิกา 2:13
เธสะโลนิกา 2:16
เธสะโลนิกา 2:4
เธสะโลนิกา 3:13
เธสะโลนิกา 3:16
เธสะโลนิกา 3:3
เธสะโลนิกา 3:5
เธสะโลนิกา 4:11
เธสะโลนิกา 5:11
เธสะโลนิกา 5:12
เธสะโลนิกา 5:15
เธสะโลนิกา 5:17
เธสะโลนิกา 5:23
เธสะโลนิกา 5:8
เธสะโลนิกา 5:9
เนหะมีย์ 9:6
เนหะมีห์ 1:9
เปโตร 1:17
เปโตร 1:24
เปโตร 1:3
เปโตร 1:5
เปโตร 2:1
เปโตร 2:16
เปโตร 3:10
เปโตร 3:2
เปโตร 3:8
เปโตร 4:16
เพลงคร่ำครวญ 3:25
เพลงคร่ำครวญ 3:31
เพลงคร่ำครวญ 3:57
เยเรมีย์ 10:23
เยเรมีย์ 13:16
เยเรมีย์ 14:22
เยเรมีย์ 15:19
เยเรมีย์ 17:14
เยเรมีย์ 17:5
เยเรมีย์ 20:13
เยเรมีย์ 22:3
เยเรมีย์ 23:23
เยเรมีย์ 29:11
เยเรมีย์ 29:13
เยเรมีย์ 30:18
เยเรมีย์ 31:25
เยเรมีย์ 31:3
เยเรมีย์ 32:17
เยเรมีย์ 32:36
เยเรมีย์ 32:39
เยเรมีย์ 39:17
เยเรมีย์ 5:22
เยเรมีย์ 6:16
เลวีนิติ 16:30
เศคาริยาห์ 10:1
เศคาริยาห์ 14:6
เศคาริยาห์ 7:9
เศคาริยาห์ 8:16
เศคาริยาห์ 9:16
เศคาริยาห์ 9:9
เศฟันยาห์ 2:3
เศฟันยาห์ 3:17
เศฟันยาห์ 3:5
เศฟันยาห์ 3:9
เอสรา 1:3
เอสรา 8:22
เอเฟซัส 2:10
เอเฟซัส 3:17
เอเฟซัส 3:20
เอเฟซัส 4:1
เอเฟซัส 4:26
เอเฟซัส 4:31
เอเฟซัส 5:1
เอเฟซัส 5:10
เอเฟซัส 5:15
เอเฟซัส 5:8
เอเฟซัส 6:1
เอเฟซัส 6:5
เอเสเคียล 11:21
เอเสเคียล 18:23
เอเสเคียล 18:32
เอเสเคียล 33:18
เอเสเคียล 34:31
เอเสเคียล 36:26
โครินธ์  10:17
โครินธ์  10:31
โครินธ์  1:3
โครินธ์ 10:23
โครินธ์ 10:31
โครินธ์ 11:32
โครินธ์ 12:10
โครินธ์ 12:9
โครินธ์ 15:44
โครินธ์ 15:58
โครินธ์ 16:13
โครินธ์ 1:10
โครินธ์ 1:12
โครินธ์ 1:21
โครินธ์ 1:27
โครินธ์ 1:8
โครินธ์ 2:11
โครินธ์ 2:7
โครินธ์ 3:16
โครินธ์ 3:17
โครินธ์ 3:18
โครินธ์ 4:16
โครินธ์ 4:5
โครินธ์ 5:14
โครินธ์ 5:15
โครินธ์ 5:17
โครินธ์ 5:7
โครินธ์ 6:19
โครินธ์ 6:20
โครินธ์ 8:14
โครินธ์ 9:23
โคโลสี  4:2
โคโลสี 1:13
โคโลสี 1:15
โคโลสี 2:6
โคโลสี 3:1
โคโลสี 3:12
โคโลสี 3:2
โคโลสี 3:22
โคโลสี 4:6
โยชูวา 11:15
โยชูวา 1:7
โยชูวา 1:8
โยชูวา 23:11
โยนาห์ 2:2
โยนาห์ 2:6
โยนาห์ 3:1
โยนาห์ 3:10
โยนาห์ 4:10
โยบ 11:18
โยบ 19:25
โยบ 28:28
โยบ 42:5
โยเอล 2:23
โยเอล 2:26
โยเอล 2:27
โยเอล 2:28
โรม 10:9
โรม 11:22
โรม 12:9
โรม 13:1
โรม 13:11
โรม 13:8
โรม 14:1
โรม 14:7
โรม 15:13
โรม 15:21
โรม 1:17
โรม 2:12
โรม 2:13
โรม 2:6
โรม 3:25
โรม 4:7
โรม 5:1
โรม 5:2
โรม 5:8
โรม 6:16
โรม 6:23
โรม 8:28
โรม 8:31
โรม 8:5
โรม 9:16
โอบาดีห์ 1:15
โอเชยา 6:3
โฮเชยา 10:12
โฮเชยา 12:6
โฮเชยา 13:4
โฮเชยา 14:9
โฮเชยา 6:1
โฮเชยา 6:3
